	FilePath	Line	Logged	Thrown	SetLogicFlag	Return	RecoverFlag	OtherOperation	CatchBlock
--------------------------------------------------------									
"NumExceptionType: 220, NumCatchBlock: 4041, NumLogged: 771, NumThrown: 969, NumLoggedAndThrown: 30, NumLoggedNotThrown: 741."									
									
--------------------------------------------------------									
"Exception Type [System.Exception]: NumCatchBlock: 1527, NumLogged: 638, NumThrown: 264, NumLoggedAndThrown: 26, NumLoggedNotThrown: 612."									
ID:1	..\data\MonoDevelop\monodevelop-4.3.3\extras\AspNetEdit\AspNetEdit.Integration\GeckoWebBrowser.cs	136	"MonoDevelop.Core.LoggingService.LogError (""Could not write temporary HTML file '{0}' for Gecko web control\n{1}"", tempFile, ex.ToString ())"						"catch (Exception ex) {MonoDevelop.Core.LoggingService.LogError (""Could not write temporary HTML file '{0}' for Gecko web control\n{1}"", tempFile, ex.ToString ());}"
ID:2	..\data\MonoDevelop\monodevelop-4.3.3\extras\AspNetEdit\AspNetEdit.Integration\GeckoWebBrowser.cs	164	"MonoDevelop.Core.LoggingService.LogError (""Could not delete temp file '{0}'\n{1]"", oldTempFile, ex.ToString ())"						"catch (Exception ex) {MonoDevelop.Core.LoggingService.LogError (""Could not delete temp file '{0}'\n{1]"", oldTempFile, ex.ToString ());}"
ID:3	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Database\MonoDevelop.Database.Designer\Dialogs\CreateDatabaseDialog.cs	74				return;	QueryService.RaiseException (ex);	Respond (ResponseType.Close);	catch (Exception ex) {QueryService.RaiseException (ex);Respond (ResponseType.Close);return;}
ID:4	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Database\MonoDevelop.Database.Designer\Dialogs\TableEditorDialog.cs	162	LoggingService.LogDebug (builder.ToString ())						catch (Exception ee) {LoggingService.LogDebug (builder.ToString ());LoggingService.LogError (ee.ToString ());}
ID:5	..\data\MonoDevelop\monodevelop-4.3.3\extras\MonoDevelop.Database\MonoDevelop.Database.Sql.SqlServer\SqlServerSchemaProvider.cs	106					QueryService.RaiseException (e);		catch (Exception e) {QueryService.RaiseException (e);}
