	FilePath	Line	Logged	Thrown	SetLogicFlag	Return	RecoverFlag	OtherOperation	CatchBlock
--------------------------------------------------------									
"NumExceptionType: 106, NumCatchBlock: 1346, NumLogged: 252, NumThrown: 202, NumLoggedAndThrown: 24, NumLoggedNotThrown: 228."									
									
--------------------------------------------------------									
"Exception Type [System.Exception]: NumCatchBlock: 543, NumLogged: 173, NumThrown: 84, NumLoggedAndThrown: 18, NumLoggedNotThrown: 155."									
ID:1	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\ComponentInspector\ComponentInspector.Core\Src\ObjectBrowser\Panels\DetailPanel.cs	373					"ErrorDialog.Show(ex,""(bug, please report) Unexpected exception ""+ ""showing link"",""Unexpected Exception Showing Link"",MessageBoxIcon.Error);"		"catch (Exception ex){ErrorDialog.Show(ex,""(bug, please report) Unexpected exception ""+ ""showing link"",""Unexpected Exception Showing Link"",MessageBoxIcon.Error);}"
ID:2	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\CppBackendBinding\CppProject.cs	119		"throw new ProjectLoadException(ex.Message, ex);"					"catch (Exception ex) {throw new ProjectLoadException(ex.Message, ex);}"
ID:3	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\EmbeddedImageAddIn\ImageElement.cs	42					MessageBox.Show(ex.Message);		catch (Exception ex) {MessageBox.Show(ex.Message);}
ID:4	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\NAnt\NAnt.AddIn\Src\NAntOutputParser.cs	136							catch (Exception) {// Ignore.}
ID:5	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\NAnt\NAnt.AddIn\Src\NAntOutputParser.cs	167							catch (Exception) {// Ignore.}
ID:6	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\NAnt\NAnt.AddIn\Src\NAntOutputParser.cs	194							catch (Exception) {// Ignore.}
ID:7	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\NAnt\NAnt.AddIn\Src\NAntOutputParser.cs	223							catch (Exception) {// Ignore.}
ID:8	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\NAnt\NAnt.AddIn\Src\NAntOutputParser.cs	245							catch (Exception) {// Ignore.}
ID:9	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\NAnt\NAnt.AddIn\Src\NAntOutputParser.cs	268							catch (Exception) {// Ignore.}
ID:10	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\NAnt\NAnt.AddIn\Src\NAntOutputParser.cs	295							catch(Exception) { }
ID:11	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\NAnt\NAnt.AddIn\Src\NAntOutputParser.cs	329							catch(Exception) { }
ID:12	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Debugger\Debugger.Tests\Tests\Exception_Custom.cs	35		"throw new MyException(""test2"", e);"					"catch(System.Exception e) {throw new MyException(""test2"", e);}"
ID:13	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\FormsDesigner\Project\Src\DesignerViewContent.cs	449	LoggingService.Error(ex)						catch (Exception ex) {LoggingService.Error(ex);}
ID:14	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\FormsDesigner\Project\Src\DesignerViewContent.cs	513		"throw new FormsDesignerLoadException(e.InnerException.Message, e);"			"if (e.InnerException is FormsDesignerLoadException) {throw new FormsDesignerLoadException(e.InnerException.Message, e);} else if (e is FormsDesignerLoadException) {throw;} else if (designSurface != null && !designSurface.IsLoaded && designSurface.LoadErrors != null) {throw new FormsDesignerLoadException(FormatLoadErrors(designSurface), e);} else {throw;}"		"catch (Exception e) {if (e.InnerException is FormsDesignerLoadException) {throw new FormsDesignerLoadException(e.InnerException.Message, e);} else if (e is FormsDesignerLoadException) {throw;} else if (designSurface != null && !designSurface.IsLoaded && designSurface.LoadErrors != null) {throw new FormsDesignerLoadException(FormatLoadErrors(designSurface), e);} else {throw;}}"
ID:15	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\WpfDesign\WpfDesign.Designer\Project\Services\UndoService.cs	157	"Debug.WriteLine(""Exception rolling back after Redo error:\n"" + ex.ToString())"						"catch (Exception ex) {Debug.WriteLine(""Exception rolling back after Redo error:\n"" + ex.ToString());}"
ID:16	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\WpfDesign\WpfDesign.Designer\Project\Services\UndoService.cs	179	"Debug.WriteLine(""Exception rolling back after failure:\n"" + ex.ToString())"						"catch (Exception ex) {Debug.WriteLine(""Exception rolling back after failure:\n"" + ex.ToString());}"
ID:17	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\PackageManagement\Project\Src\RestorePackagesCommand.cs	47	LoggingService.Debug(ex.ToString())				outputMessagesView.AppendLine(ex.Message);		catch (Exception ex) {LoggingService.Debug(ex.ToString());outputMessagesView.AppendLine(ex.Message);}
ID:18	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\ICSharpCode.Decompiler\Tests\Async.cs	110	"Console.WriteLine(""Crash"")"						"catch (Exception) {Console.WriteLine(""Crash"");}"
ID:19	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\ICSharpCode.Decompiler\Tests\ExceptionHandling.cs	51	Console.WriteLine(ex.Message)						catch (Exception ex){Console.WriteLine(ex.Message);}
ID:20	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\ICSharpCode.Decompiler\Tests\ExceptionHandling.cs	67	Console.WriteLine(ex2.Message)						catch (Exception ex2){Console.WriteLine(ex2.Message);}
ID:21	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\ICSharpCode.Decompiler\Tests\ExceptionHandling.cs	112	Console.WriteLine(ex.Message)						catch (Exception ex){Console.WriteLine(ex.Message);}
ID:22	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\ICSharpCode.Decompiler\Tests\ExceptionHandling.cs	120	Console.WriteLine(ex.Message)						catch (Exception ex){Console.WriteLine(ex.Message);}
ID:23	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Debugging\IDebuggerService.cs	220		"throw new ApplicationException(""Can't execute \"""" + processStartInfo.FileName + ""\""\n"");"				OnDebugStopped(EventArgs.Empty);	"catch (Exception) {OnDebugStopped(EventArgs.Empty);throw new ApplicationException(""Can't execute \"""" + processStartInfo.FileName + ""\""\n"");}"
ID:24	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Designer\TypeResolutionService.cs	230					"MessageService.ShowException(ex, ""Error calling linker for netmodule"");"		"catch (Exception ex) {MessageService.ShowException(ex, ""Error calling linker for netmodule"");}"
ID:25	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Designer\TypeResolutionService.cs	430	LoggingService.Error(e)						catch (Exception e) {LoggingService.Error(e);}
ID:26	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Designer\TypeResolutionService.cs	403	LoggingService.Error(e)						catch (Exception e) {LoggingService.Error(e);}
ID:27	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Dom\ClassBrowser\DerivedTypesTreeNode.cs	91							"catch (Exception) {// TODO Can't load the type, what to do?}"
ID:28	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Gui\Dialogs\ReferenceDialog\GacReferencePanel.cs	262					MessageService.ShowException(ex);		catch (Exception ex) {MessageService.ShowException(ex);}
ID:29	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Gui\Dialogs\ReferenceDialog\ServiceReference\AddServiceReferenceViewModel.cs	98			ServiceDescriptionMessage = ex.Message				catch (Exception ex) {ServiceDescriptionMessage = ex.Message;}
ID:30	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Gui\Dialogs\ReferenceDialog\ServiceReference\AddServiceReferenceViewModel.cs	317	"ICSharpCode.Core.LoggingService.Error(""Failed to add service reference."", ex)"						"catch (Exception ex) {ICSharpCode.Core.LoggingService.Error(""Failed to add service reference."", ex);}"
ID:31	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Gui\Dialogs\ReferenceDialog\ServiceReference\AddServiceReferenceViewModel.cs	393				return null;			catch (Exception) {return null;}
ID:32	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Workbench\DisplayBinding\ExternalProcessDisplayBinding.cs	49					MessageService.ShowError(ex.Message);		catch (Exception ex) {MessageService.ShowError(ex.Message);}
ID:33	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Core\Project\Src\Services\ResourceService\ResourceService.cs	221					try {Thread.CurrentThread.CurrentUICulture = new System.Globalization.CultureInfo(language.Split('-')[0]);} catch (Exception) {}		catch (Exception) {try {Thread.CurrentThread.CurrentUICulture = new System.Globalization.CultureInfo(language.Split('-')[0]);} catch (Exception) {}}
ID:34	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Core\Project\Src\Services\ResourceService\ResourceService.cs	224							catch (Exception) {}
ID:35	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Core\Project\Src\Services\ResourceService\ResourceService.cs	289							catch (Exception) { }
ID:36	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Core\Project\Src\Services\ResourceService\ResourceService.cs	301							catch (Exception) { }
ID:37	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Core\Project\Src\Services\ResourceService\ResourceService.cs	335							catch (Exception) { }
